2409:2026-03-12 18:11:20 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2990:2026-03-12 18:16:59 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2994:2026-03-12 18:17:01 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
2997:2026-03-12 18:17:01 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3014:2026-03-12 18:17:14 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3015:2026-03-12 18:17:14 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3017:2026-03-12 18:17:16 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3018:2026-03-12 18:17:16 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3020:2026-03-12 18:17:17 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3021:2026-03-12 18:17:17 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3023:2026-03-12 18:17:20 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3024:2026-03-12 18:17:20 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3044:2026-03-12 18:17:33 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3045:2026-03-12 18:17:33 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3049:2026-03-12 18:17:36 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3050:2026-03-12 18:17:36 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3052:2026-03-12 18:17:39 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3053:2026-03-12 18:17:39 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3065:2026-03-12 18:17:47 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3066:2026-03-12 18:17:47 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3071:2026-03-12 18:17:49 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3072:2026-03-12 18:17:49 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3079:2026-03-12 18:17:55 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3080:2026-03-12 18:17:55 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3089:2026-03-12 18:18:00 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3090:2026-03-12 18:18:00 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3097:2026-03-12 18:18:08 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3098:2026-03-12 18:18:08 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3100:2026-03-12 18:18:08 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3101:2026-03-12 18:18:08 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3104:2026-03-12 18:18:12 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3107:2026-03-12 18:18:12 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3126:2026-03-12 18:18:24 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3127:2026-03-12 18:18:24 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3129:2026-03-12 18:18:25 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3130:2026-03-12 18:18:25 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3135:2026-03-12 18:18:33 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3136:2026-03-12 18:18:33 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3140:2026-03-12 18:18:35 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3141:2026-03-12 18:18:35 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3153:2026-03-12 18:18:41 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3154:2026-03-12 18:18:41 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3161:2026-03-12 18:18:45 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3162:2026-03-12 18:18:45 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3164:2026-03-12 18:18:46 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3165:2026-03-12 18:18:46 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3170:2026-03-12 18:18:51 | ERROR    | sentinel | kalshi_agent | [sentinel] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3171:2026-03-12 18:18:51 | WARNING  | sentinel | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3183:2026-03-12 18:18:59 | ERROR    | oracle | kalshi_agent | [oracle] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3184:2026-03-12 18:19:00 | WARNING  | oracle | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3188:2026-03-12 18:19:02 | ERROR    | pulse | kalshi_agent | [pulse] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3189:2026-03-12 18:19:02 | WARNING  | pulse | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3199:2026-03-12 18:19:10 | ERROR    | vanguard | kalshi_agent | [vanguard] Failed to fetch balance: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
3202:2026-03-12 18:19:10 | WARNING  | vanguard | kalshi_agent | Failed to fetch positions: HTTP 401: {"error":{"code":"authentication_error","message":"authentication_error","details":"NOT_FOUND"}}
